id	output
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x2cac935ea7890cfbc87c0f8039fef4b35f77fbb789bb881311188640a321f341"}	[{"salt": "2", "amount0": "0", "amount1": "49468", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x2b33d6fd7451a16b8075b085bc3324cf1b6e059a25770656f7dea01b560623fc"}	[{"salt": "4", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "-499"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x97ca017f5f646d97587e9cab5162e4143742646a95f291a463d55ea5a9806838"}	[{"salt": "4", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "999"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc1b0da72ea1baf5c97293db0ef8253ec51042e1e7334704e4b8ae1fe868bc3ce"}	[{"salt": "4", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x82c61f7991b0267a8fe3757192388f069e0d22cf5c9042cfd0fc3da6bb056ac6"}	[{"salt": "5", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": -276300, "liquidityDelta": "-60037422285"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x1292c63d77e4712a65aefd2c39288a5d61b34726c4579079372136ee5d008805"}	[{"salt": "8", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -237250, "tickUpper": -236680, "liquidityDelta": "-729838254729807"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xa2a586d4a2c96af88d10ca1b5a71a659a8f019fa0c640bd1d6154e2fc9cac795"}	[{"salt": "10", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -237260, "tickUpper": -236810, "liquidityDelta": "-921048751877728"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x60c7cdba490ffa448c61617bb77d98f2887c344e26886a7ac95fc770a0786193"}	[{"salt": "11", "amount0": "0", "amount1": "475640341964182473", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-348849592782059"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x7bf6b7edf068cde262ee747c4c97eaba15e161139e20d622b78caf5b22713d4e"}	[{"salt": "12", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -317270, "tickUpper": -306280, "liquidityDelta": "-102091088055040"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x1e38ed60e919babe72348faba0482f129cccc8a42cc75a068b9706fa6414a7e9"}	[{"salt": "15", "amount0": "0", "amount1": "82", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-2535122837"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x1949cb6a9b6f719240ae6aa767debbef27f47760f72f95bea1a04a2b7c591804"}	[{"salt": "15", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "53478434"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xa13f786cafbfffd8445510218855326fc86443c77966f203509b52c7efc19dfa"}	[{"salt": "15", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x80ded5e0ea18a4c590c914628ea50ea9446077b77a0b7ab11bfb5eca353c46d2"}	[{"salt": "14", "amount0": "0", "amount1": "466604881532720211", "ordinal": 0, "tickLower": 319740, "tickUpper": 322500, "liquidityDelta": "-501752660357147"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc1e70136e9bb912124c06f6cbedd559466f2bb3837eee634a99ab9028739a5db"}	[{"salt": "20", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -384528, "tickUpper": -92109, "liquidityDelta": "9040870"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x9e2ccfdc51c3cd0d9f3909bfea3429dca039dedd8718e24519bbd6157ea8021a"}	[{"salt": "20", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -384528, "tickUpper": -92109, "liquidityDelta": "-24862393"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x70dfd1bf007896b9e2d958f105f10366c625c20caaf5f0fead69b057f7229456"}	[{"salt": "20", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -384528, "tickUpper": -92109, "liquidityDelta": "-54245222"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc80d953d76b619ce2b81b0ed19477b591bf5d525de97e396c4b23efc930b3668"}	[{"salt": "20", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -384528, "tickUpper": -92109, "liquidityDelta": "-29382830"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x04255810e96955e16166e7f9b1643ebed13832a59d85d4ac3b223bfb6112f293"}	[{"salt": "24", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -115620, "tickUpper": -114600, "liquidityDelta": "-2803906309188342308070"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xd643b405f7970e4b236acca386e9149974e9ee0e6a84d55dbe2f49866200ea49"}	[{"salt": "25", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -245410, "tickUpper": -239430, "liquidityDelta": "8381356217167"}]
